training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
2,39,0.6788,0.0465,0,3.0030
2,40,0.6791,0.0465,0,3.0030
2,41,0.6810,0.0470,0,3.0034
2,42,0.6840,0.0470,0,3.0034
2,43,0.6802,0.0470,0,3.0034
2,44,0.6836,0.0470,0,3.0034
2,45,0.6830,0.0470,0,3.0034
2,46,0.6843,0.0470,0,3.0034
2,47,0.6835,0.0470,0,3.0034
2,48,0.6901,0.0470,0,3.0034
2,49,0.6758,0.0470,0,3.0034
2,50,0.6901,0.0470,0,3.0034
3,0,0.4626,0.0470,0,3.0034
3,1,0.5326,0.0330,0,3.0080
3,2,0.5533,0.0330,0,3.0080
3,3,0.5707,0.0330,0,3.0080
3,4,0.5747,0.0330,0,3.0080
3,5,0.5890,0.0330,0,3.0080
3,6,0.5858,0.0385,0,3.0054
3,7,0.6006,0.0385,0,3.0054
3,8,0.6056,0.0385,0,3.0054
3,9,0.6058,0.0385,0,3.0054
3,10,0.6100,0.0385,0,3.0054
3,11,0.6167,0.0395,0,3.0043
3,12,0.6325,0.0395,0,3.0043
3,13,0.6262,0.0395,0,3.0043
3,14,0.6312,0.0395,0,3.0043
3,15,0.6287,0.0395,0,3.0043
3,16,0.6295,0.0365,0,3.0049
3,17,0.6352,0.0365,0,3.0049
3,18,0.6331,0.0365,0,3.0049
3,19,0.6416,0.0365,0,3.0049
3,20,0.6387,0.0365,0,3.0049
3,21,0.6424,0.0370,0,3.0049
3,22,0.6372,0.0370,0,3.0049
3,23,0.6383,0.0370,0,3.0049
3,24,0.6397,0.0370,0,3.0049
3,25,0.6399,0.0370,0,3.0049
3,26,0.6447,0.0385,0,3.0050
3,27,0.6346,0.0385,0,3.0050
3,28,0.6407,0.0385,0,3.0050
3,29,0.6473,0.0385,0,3.0050
3,30,0.6487,0.0385,0,3.0050
3,31,0.6511,0.0380,0,3.0053
3,32,0.6440,0.0380,0,3.0053
3,33,0.6488,0.0380,0,3.0053
3,34,0.6439,0.0380,0,3.0053
3,35,0.6467,0.0380,0,3.0053
3,36,0.6461,0.0370,0,3.0054
3,37,0.6483,0.0370,0,3.0054
3,38,0.6478,0.0370,0,3.0054
3,39,0.6372,0.0370,0,3.0054
3,40,0.6532,0.0370,0,3.0054
3,41,0.6510,0.0380,0,3.0053
3,42,0.6477,0.0380,0,3.0053
3,43,0.6449,0.0380,0,3.0053
3,44,0.6529,0.0380,0,3.0053
3,45,0.6528,0.0380,0,3.0053
3,46,0.6448,0.0355,0,3.0053
3,47,0.6543,0.0355,0,3.0053
3,48,0.6451,0.0355,0,3.0053
3,49,0.6532,0.0355,0,3.0053
